Date,Close
1998-01-02,97.36
1998-01-05,97.75
1998-01-06,96.63
1998-01-07,96.47
1998-01-08,95.78
1998-01-09,92.47
1998-01-12,94.06
1998-01-13,95.22
1998-01-14,95.81
1998-01-15,94.94
1998-01-16,96.23
1998-01-20,98.0
1998-01-21,97.16
1998-01-22,96.3
1998-01-23,95.66
1998-01-26,95.75
1998-01-27,97.0
1998-01-28,97.88
1998-01-29,98.75
1998-01-30,98.31
1998-02-02,100.25
1998-02-03,100.69
1998-02-04,100.59
1998-02-05,100.38
1998-02-06,101.28
1998-02-09,101.14
1998-02-10,102.05
1998-02-11,102.13
1998-02-12,102.66
1998-02-13,102.16
1998-02-17,102.34
1998-02-18,103.41
1998-02-19,103.0
1998-02-20,103.56
1998-02-23,104.0
1998-02-24,103.19
1998-02-25,104.48
1998-02-26,105.06
1998-02-27,105.2
1998-03-02,104.81
1998-03-03,105.41
1998-03-04,104.97
1998-03-05,103.75
1998-03-06,105.75
1998-03-09,105.44
1998-03-10,106.66
1998-03-11,107.25
1998-03-12,107.25
1998-03-13,107.22
1998-03-16,108.25
1998-03-17,108.47
1998-03-18,108.78
1998-03-19,109.34
1998-03-20,110.0
1998-03-23,109.5
1998-03-24,110.59
1998-03-25,110.19
1998-03-26,110.13
1998-03-27,109.53
1998-03-30,109.34
1998-03-31,110.09
1998-04-01,110.98
1998-04-02,112.03
1998-04-03,112.19
1998-04-06,112.25
1998-04-07,111.0
1998-04-08,110.13
1998-04-09,111.0
1998-04-13,111.0
1998-04-14,111.69
1998-04-15,112.02
1998-04-16,110.91
1998-04-17,112.22
1998-04-20,112.41
1998-04-21,112.63
1998-04-22,113.0
1998-04-23,112.09
1998-04-24,110.88
1998-04-27,108.59
1998-04-28,108.63
1998-04-29,109.53
1998-04-30,111.44
1998-05-01,112.19
1998-05-04,112.25
1998-05-05,111.66
1998-05-06,110.5
1998-05-07,109.59
1998-05-08,111.0
1998-05-11,110.86
1998-05-12,111.64
1998-05-13,112.06
1998-05-14,111.97
1998-05-15,111.0
1998-05-18,110.84
1998-05-19,111.06
1998-05-20,112.28
1998-05-21,111.69
1998-05-22,111.16
1998-05-26,109.53
1998-05-27,109.63
1998-05-28,110.0
1998-05-29,109.38
1998-06-01,109.5
1998-06-02,109.59
1998-06-03,108.5
1998-06-04,109.91
1998-06-05,111.81
1998-06-08,111.88
1998-06-09,112.28
1998-06-10,111.38
1998-06-11,109.66
1998-06-12,110.25
1998-06-15,108.0
1998-06-16,109.06
1998-06-17,111.25
1998-06-18,111.16
1998-06-19,110.03
1998-06-22,110.38
1998-06-23,111.97
1998-06-24,113.47
1998-06-25,113.0
1998-06-26,113.41
1998-06-29,113.89
1998-06-30,113.36
1998-07-01,114.94
1998-07-02,114.63
1998-07-06,115.78
1998-07-07,115.56
1998-07-08,116.81
1998-07-09,116.0
1998-07-10,116.53
1998-07-13,116.75
1998-07-14,117.81
1998-07-15,117.56
1998-07-16,118.44
1998-07-17,118.75
1998-07-20,118.5
1998-07-21,116.53
1998-07-22,116.63
1998-07-23,114.19
1998-07-24,114.16
1998-07-27,114.98
1998-07-28,113.31
1998-07-29,112.66
1998-07-30,114.34
1998-07-31,112.06
1998-08-03,111.38
1998-08-04,107.61
1998-08-05,108.16
1998-08-06,109.09
1998-08-07,109.03
1998-08-10,108.59
1998-08-11,107.06
1998-08-12,108.5
1998-08-13,107.64
1998-08-14,106.48
1998-08-17,108.5
1998-08-18,110.25
1998-08-19,110.0
1998-08-20,109.25
1998-08-21,108.38
1998-08-24,109.06
1998-08-25,109.5
1998-08-26,108.5
1998-08-27,104.25
1998-08-28,103.0
1998-08-31,96.25
1998-09-01,99.69
1998-09-02,99.0
1998-09-03,98.52
1998-09-04,97.63
1998-09-08,102.59
1998-09-09,100.75
1998-09-10,98.25
1998-09-11,101.25
1998-09-14,103.16
1998-09-15,104.2
1998-09-16,105.0
1998-09-17,102.23
1998-09-18,101.97
1998-09-21,102.19
1998-09-22,103.0
1998-09-23,106.63
1998-09-24,104.38
1998-09-25,104.3
1998-09-28,104.91
1998-09-29,104.94
1998-09-30,101.84
1998-10-01,98.63
1998-10-02,100.31
1998-10-05,99.0
1998-10-06,98.53
1998-10-07,97.22
1998-10-08,96.22
1998-10-09,98.63
1998-10-12,99.78
1998-10-13,99.53
1998-10-14,100.5
1998-10-15,105.03
1998-10-16,105.66
1998-10-19,106.34
1998-10-20,106.5
1998-10-21,107.13
1998-10-22,108.0
1998-10-23,107.13
1998-10-26,107.55
1998-10-27,106.63
1998-10-28,106.78
1998-10-29,108.97
1998-10-30,110.0
1998-11-02,111.48
1998-11-03,111.13
1998-11-04,111.84
1998-11-05,113.73
1998-11-06,114.28
1998-11-09,113.14
1998-11-10,112.69
1998-11-11,112.38
1998-11-12,112.03
1998-11-13,112.77
1998-11-16,113.84
1998-11-17,114.34
1998-11-18,114.75
1998-11-19,115.5
1998-11-20,116.63
1998-11-23,119.16
1998-11-24,118.69
1998-11-25,118.88
1998-11-27,119.5
1998-11-30,116.69
1998-12-01,117.81
1998-12-02,117.5
1998-12-03,115.28
