timestamp_utc,timestamp_riyadh,date,hour,minute,is_morning_peak,road_segment_id,road_name,lat,lon,avg_speed_kmh,free_flow_speed_kmh,congestion_index,congestion_definition,granularity_minutes,source_name,source_url,retrieved_at,license,quality_flag
2020-12-31T21:00:00Z,2021-01-01T00:00:00+03:00,2021-01-01,0,0,0,CITY_RIYADH,Riyadh (city-wide),24.7136,46.6753,,,23,TomTom congestion level: extra travel time vs free-flow conditions expressed as a percent; annual city average (Traffic Index 2021 edition methodology),525600,tomtom_traffic_index_2021_edition,https://nonews.co/wp-content/uploads/2022/02/TomTom2021.pdf,2026-07-27T04:29:15Z,TomTom Traffic Index terms (free to view),source_aggregate
2023-12-31T21:00:00Z,2024-01-01T00:00:00+03:00,2024-01-01,0,0,0,CITY_RIYADH_RUSH_HOUR,"Riyadh (city-wide, rush-hour periods)",24.7136,46.6753,,,71.1,"TomTom Traffic Index: hours lost per year driving in rush hour vs free-flow conditions, typical 10 km commute twice daily",525600,tomtom_traffic_index_2026_edition,https://www.tomtom.com/traffic-index/city/riyadh,2026-07-27T04:29:15Z,TomTom Traffic Index terms (free to view),source_aggregate
2024-12-31T21:00:00Z,2025-01-01T00:00:00+03:00,2025-01-01,0,0,0,CITY_RIYADH_RUSH_HOUR,"Riyadh (city-wide, rush-hour periods)",24.7136,46.6753,,,66.0,"TomTom Traffic Index: hours lost per year driving in rush hour vs free-flow conditions, typical 10 km commute twice daily",525600,tomtom_traffic_index_2026_edition,https://www.tomtom.com/traffic-index/city/riyadh,2026-07-27T04:29:15Z,TomTom Traffic Index terms (free to view),source_aggregate
2024-12-31T21:00:00Z,2025-01-01T00:00:00+03:00,2025-01-01,0,0,0,CITY_RIYADH,Riyadh (city-wide),24.7136,46.6753,24.8,,,,525600,tomtom_traffic_index_2026_edition,https://www.tomtom.com/traffic-index/city/riyadh,2026-07-27T04:29:15Z,TomTom Traffic Index terms (free to view),source_aggregate
2023-12-31T21:00:00Z,2024-01-01T00:00:00+03:00,2024-01-01,0,0,0,CITY_RIYADH,Riyadh (city-wide),24.7136,46.6753,,,34.0,Hours per year lost to traffic delays; report Breaking the Middle East Billion-Dollar Traffic Challenge (blended INRIX + TomTom 2024 data) as republished by AGBI 2026-01-26,525600,agbi_inrix_tomtom_blend_2024,https://www.agbi.com/infrastructure/2026/01/traffic-congestion-tightens-grip-on-dubai-and-riyadh/,2026-07-27T04:29:15Z,AGBI editorial content (c) AGBI,source_aggregate
2023-12-31T21:00:00Z,2024-01-01T00:00:00+03:00,2024-01-01,0,0,0,CITY_RIYADH_RUSH_HOUR,"Riyadh (city-wide, rush-hour periods)",24.7136,46.6753,,,58.0,Hours per year lost in rush-hour periods; same blended INRIX + TomTom 2024 report via AGBI,525600,agbi_inrix_tomtom_blend_2024,https://www.agbi.com/infrastructure/2026/01/traffic-congestion-tightens-grip-on-dubai-and-riyadh/,2026-07-27T04:29:15Z,AGBI editorial content (c) AGBI,source_aggregate
2026-07-26T21:00:00Z,2026-07-27T00:00:00+03:00,2026-07-27,0,0,0,CITY_RIYADH,Riyadh (city-wide),24.7136,46.6753,,,156.69,"Numbeo Traffic Index: survey-based composite of commute time, time dissatisfaction, CO2 and overall inefficiency; rolling snapshot, scale ~0-320; NOT a road measurement",525600,numbeo_traffic_index,https://www.numbeo.com/traffic/in/Riyadh,2026-07-27T04:29:15Z,(c) Numbeo (free to view),source_aggregate
2021-06-30T21:00:00Z,2021-07-01T00:00:00+03:00,2021-07-01,0,0,0,CITY_RIYADH,Riyadh (city-wide),24.7136,46.6753,,,6,"TomTom daily congestion level: extra travel time vs free-flow conditions, percent, city-wide daily average; field passed through unchanged from api.midway.tomtom.com/ranking/dailyStats/SAU_riyadh by ActiveConclusion/COVID19_mobility scraper",1440,tomtom_dailystats_api_via_activeconclusion_github,https://github.com/ActiveConclusion/COVID19_mobility/blob/master/tomtom_reports/tomtom_trafic_index.csv,2026-07-27T19:18:34Z,(c) TomTom via MIT-licensed repo republication,verified
2021-07-01T21:00:00Z,2021-07-02T00:00:00+03:00,2021-07-02,0,0,0,CITY_RIYADH,Riyadh (city-wide),24.7136,46.6753,,,3,"TomTom daily congestion level: extra travel time vs free-flow conditions, percent, city-wide daily average; field passed through unchanged from api.midway.tomtom.com/ranking/dailyStats/SAU_riyadh by ActiveConclusion/COVID19_mobility scraper",1440,tomtom_dailystats_api_via_activeconclusion_github,https://github.com/ActiveConclusion/COVID19_mobility/blob/master/tomtom_reports/tomtom_trafic_index.csv,2026-07-27T19:18:34Z,(c) TomTom via MIT-licensed repo republication,verified
2021-07-02T21:00:00Z,2021-07-03T00:00:00+03:00,2021-07-03,0,0,0,CITY_RIYADH,Riyadh (city-wide),24.7136,46.6753,,,3,"TomTom daily congestion level: extra travel time vs free-flow conditions, percent, city-wide daily average; field passed through unchanged from api.midway.tomtom.com/ranking/dailyStats/SAU_riyadh by ActiveConclusion/COVID19_mobility scraper",1440,tomtom_dailystats_api_via_activeconclusion_github,https://github.com/ActiveConclusion/COVID19_mobility/blob/master/tomtom_reports/tomtom_trafic_index.csv,2026-07-27T19:18:34Z,(c) TomTom via MIT-licensed repo republication,verified
